from_node,to_node,length_m,free_flow_speed_kmh,lanes,capacity,road_name,district,oneway,lanes_imputed,speed_imputed,road_name_missing,district_matched_by
263151909,2181538093,187.737,50.00000000000001,1,1360,大雅聯絡道,西屯區,yes,True,True,False,contains
263151909,5412034766,82.32000000000001,50.0,1,1360,中清路二段,西屯區,yes,True,True,False,contains
263152100,768592719,14.55,49.99999999999999,1,1360,健行路,北區,no,True,True,False,contains
263152100,2285774550,109.596,50.0,2,2719,中清路一段,北區,yes,False,True,False,contains
263152100,2285774576,213.271,50.0,1,1360,健行路,北區,no,True,True,False,contains
263152321,2217884312,192.008,49.99999999999999,1,1360,力行路,東區,no,True,True,False,contains
263152321,2921806847,518.51,50.0,1,1360,進德北路,東區,no,True,True,False,contains
263152321,2957200727,382.899,50.0,1,1360,力行路,北區,no,True,True,False,contains
263152592,2286334524,9.918,50.0,5,6799,林森路,西區,no,False,False,False,contains
263152592,13190493452,142.41400000000002,50.00000000000001,2,2719,五權路,西區,yes,False,True,False,contains
263152657,297717106,12.239,50.0,4,5439,英才路,西區,no,False,False,False,contains
263152657,343353882,9.599,50.0,4,5439,英才路,西區,no,False,False,False,contains
263152657,13021803226,390.797,49.99999999999999,1,1360,臺灣大道二段,西區,yes,True,True,False,contains
263152663,1019448875,9.885,50.0,1,1360,惠中路,西屯區,no,True,True,False,contains
263152663,1234819198,17.941,50.0,1,1360,惠中路,西屯區,no,True,True,False,contains
263152663,1263333967,373.006,60.0,3,4079,臺灣大道三段,西屯區,yes,False,False,False,contains
263182355,1263334016,23.144,50.0,1,1360,大業路,南屯區,no,True,True,False,contains
263182355,2655942484,85.968,60.0,3,4079,文心路一段,南屯區,yes,False,False,False,contains
263182355,2655942486,135.309,50.0,1,1360,大業路,南屯區,no,True,True,False,contains
277967313,2155791895,205.06500000000003,50.00000000000001,3,4079,松竹路一段,北屯區,yes,False,False,False,contains
277967313,2273306394,13.738,50.0,1,1360,軍功路二段,北屯區,no,True,True,False,contains
277967555,2273306340,10.02,50.0,1,1360,崇德路三段,北屯區,yes,True,True,False,contains
277967555,2273306352,101.108,50.0,2,2719,松竹路二段,北屯區,yes,False,False,False,contains
277967597,1634084657,637.005,50.0,1,1360,后庄北路,北屯區,no,True,True,False,contains
277967597,2383675937,10.329,50.0,1,1360,后庄路,北屯區,no,True,True,False,contains
277967597,4973988385,177.84199999999998,49.99999999999999,2,2719,松竹路三段,北屯區,yes,False,False,False,contains
297716895,2222522430,10.035,50.0,1,1360,臺灣大道一段,西區,no,True,False,False,contains
297716895,2222553768,104.239,49.99999999999999,3,4079,臺灣大道二段,西區,yes,False,False,False,contains
297716895,2320046532,115.839,50.0,2,2719,五權路,西區,yes,False,True,False,contains
297717027,3001732569,111.952,49.99999999999999,2,2719,五權路,西區,yes,False,True,False,contains
297717106,263152657,12.239,50.0,4,5439,英才路,西區,no,False,False,False,contains
297717106,2222553805,9.79,50.0,4,5439,英才路,西區,no,False,False,False,contains
297717106,2222553813,151.725,50.0,1,1360,臺灣大道二段,西區,yes,True,True,False,contains
343353860,1215998836,12.263,50.0,1,1360,忠太西路,北區,yes,True,True,False,contains
343353860,2641897076,189.476,60.0,2,2719,忠明路,北區,yes,False,False,False,contains
343353868,343353860,189.73699999999997,49.99999999999999,1,1360,忠太西路,北區,yes,True,True,False,contains
343353868,2319977808,23.577,50.0,1,1360,忠明七街,北區,no,True,True,False,contains
